101, Sugma, , Sharma, 2017-10-06, 201, sugma.sharma@freak.in
201, Ligma, , Kapoor, 2017-10-06, , editor.in.chief@freak.in
301, Hugh, , Jazz, 2017-10-28, 201, hugh.jazz@freak.in
401, Ben, , Chaudhary, 2017-11-17, 201, info@freak.in
102, Sukh, Deep, Gill, 2017-10-07, 101, sukh.gill@freak.in
103, E, Rex, Sean, 2018-01-27, 101, e.sean@freak.in
302, I, P, Freely, 2018-03-21, 301, i.freely@freak.in
202, Vye, , Brator, 2018-05-03, 201, vye.brator@freak.in
402, Harry, , Cox, 2018-07-08, 401, harry.cox@freak.in
203, Lee, , Nover, 2018-09-13, 201, lee.nover@freak.in
